Date,January,February,March,April,May,June,July,August,September,October,November,December,Year
20,412825.0,390191.0,270248.0,380842.5,344110.0,164911.0,397228.0,404395.0,389978.0,405515.0,320656.0,438110.0,2004
21,403467.0,279983.0,168599.0,386543.0,359269.0,390554.0,397876.0,248262.0,402582.0,363328.0,193012.0,432740.0,2004
22,379296.0,167803.0,390043.0,365414.0,263219.0,389089.0,388145.0,175874.0,401344.0,340505.0,417292.0,406309.0,2004
23,403277.0,393378.0,375281.0,384025.0,153865.0,397191.0,405732.0,394076.0,414872.0,310954.0,390686.0,419160.0,2004
24,279069.0,395583.0,394321.0,257068.0,377112.0,380584.0,290648.0,393041.0,387787.0,171862.0,438561.0,215634.0,2004
25,163337.0,220104.0,375853.0,158126.0,385547.0,410297.0,171613.0,322029.0,284622.0,408144.0,361701.0,161328.0,2004
26,395754.0,390673.0,383481.0,379639.0,396655.0,295631.0,388706.0,310104.0,180266.0,380986.0,445657.0,183356.0,2004
27,391710.0,411069.0,276584.0,363667.0,368313.0,174584.0,394912.0,393387.0,378470.0,385717.0,319828.0,223729.0,2004
28,401863.0,288275.0,166906.0,384522.0,389257.0,311391.0,403826.0,287512.0,379747.0,388278.0,192013.0,359746.0,2004
29,377518.0,176975.0,364539.0,359719.0,271653.0,375666.0,382583.0,174607.0,385397.0,425562.0,189222.0,359622.0,2004
30,396464.0,0.0,338595.0,414760.0,174434.0,372823.0,421837.0,395140.0,378694.0,264702.0,419301.0,211895.0,2004
31,292983.0,0.0,374465.0,0.0,394214.0,0.0,299004.0,402511.0,0.0,210821.0,0.0,141516.0,2004
1,105539.0,438803.0,402166.0,403862.0,183236.0,411535.0,427590.0,414126.0,415363.0,302855.0,122010.0,430225.0,2005
2,159458.0,422558.0,430933.0,291949.0,206728.0,404792.0,309332.0,403796.0,449557.0,199329.0,367843.0,458208.0,2005
3,376333.0,393487.0,382505.0,167164.0,426327.0,415031.0,185431.0,429873.0,309211.0,412293.0,380582.0,337488.0,2005
4,382150.0,424072.0,421645.0,413156.0,412016.0,295023.0,418579.0,397986.0,194452.0,417254.0,227633.0,224595.0,2005
5,412453.0,299248.0,290146.0,403954.0,410340.0,179066.0,390597.0,418045.0,433847.0,438283.0,250714.0,440316.0,2005
6,373809.0,195146.0,194429.0,417114.0,408465.0,386378.0,395352.0,296535.0,424861.0,417494.0,180450.0,413249.0,2005
7,412006.0,416759.0,411971.0,395318.0,266424.0,389742.0,403160.0,185125.0,465203.0,425256.0,384283.0,451932.0,2005
8,297012.0,379842.0,405690.0,393469.0,166636.0,374936.0,446426.0,409263.0,408541.0,267383.0,354157.0,357604.0,2005
9,184858.0,398876.0,413155.0,232791.0,391570.0,397823.0,352008.0,412855.0,442463.0,194934.0,414086.0,445127.0,2005
10,409501.0,391504.0,401915.0,174076.0,403941.0,405158.0,186807.0,422284.0,315004.0,437473.0,406020.0,283123.0,2005
11,410580.0,408788.0,425573.0,391494.0,396717.0,281928.0,420698.0,395744.0,194223.0,421184.0,434322.0,284509.0,2005
12,418657.0,319847.0,294738.0,400044.0,378844.0,149074.0,411782.0,415395.0,386906.0,408582.0,317947.0,442996.0,2005
13,415148.0,190885.0,182550.0,408453.0,382521.0,198413.0,427312.0,305988.0,437003.0,401841.0,195915.0,363519.0,2005
14,432293.0,407047.0,407764.0,386326.0,277018.0,411977.0,402398.0,195243.0,420412.0,428228.0,397846.0,511131.0,2005
15,304027.0,403118.0,417191.0,403819.0,174342.0,424422.0,366901.0,428982.0,431440.0,321045.0,444155.0,442003.0,2005
16,197515.0,408358.0,427002.0,282312.0,410738.0,413242.0,298509.0,415896.0,413677.0,217118.0,437302.0,442236.0,2005
17,409539.0,386898.0,414167.0,177276.0,387974.0,403774.0,214327.0,427149.0,323365.0,421716.0,411407.0,316115.0,2005
18,414260.0,411150.0,426065.0,364942.0,418367.0,317206.0,415260.0,410156.0,206600.0,407684.0,432988.0,53818.0,2005
19,411422.0,292679.0,318131.0,409119.0,401298.0,183188.0,419252.0,402331.0,416530.0,423325.0,352397.0,391470.0,2005
20,379903.0,184891.0,147556.0,418277.0,398488.0,402131.0,439709.0,299795.0,431680.0,419627.0,216054.0,454739.0,2005
21,447254.0,405592.0,417772.0,404223.0,271238.0,412668.0,410937.0,192887.0,440946.0,411990.0,416381.0,433929.0,2005
22,297236.0,420109.0,403441.0,401805.0,177877.0,399613.0,432401.0,414981.0,284976.0,328360.0,422925.0,422991.0,2005
23,188291.0,410622.0,343717.0,272358.0,391122.0,415559.0,301265.0,454174.0,445266.0,165277.0,447966.0,416346.0,2005
24,409712.0,418093.0,0.0,171949.0,377920.0,410058.0,183945.0,430254.0,284544.0,396421.0,416280.0,343296.0,2005
25,417794.0,244174.0,0.0,388331.0,424276.0,310608.0,189113.0,428532.0,206024.0,370412.0,455265.0,245377.0,2005
26,417506.0,263411.0,0.0,391519.0,383003.0,183679.0,402138.0,433595.0,418729.0,395064.0,324633.0,0.0,2005
27,393167.0,184265.0,126382.0,411536.0,403020.0,412509.0,392578.0,286238.0,417553.0,380492.0,72213.0,374736.0,2005
28,415528.0,421182.0,385361.0,394054.0,282893.0,401508.0,382666.0,179857.0,428665.0,397593.0,237817.0,374322.0,2005
29,301018.0,0.0,374163.0,411527.0,179104.0,417340.0,400352.0,347224.0,411750.0,207951.0,437665.0,320178.0,2005
