Date,Time,City,Location,Latitude,Longitude,Direction,Type,Lanes_Blocked,Involved,Hour,DayOfWeek,Month,Year,YearMonth,Incident_Category
2018-08-22,6:02 PM,Makati City,EDSA GUDALUPE,14.566348,121.045356,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,18.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,6:24 PM,Paraã±Aque,EAST SERVICE ROAD PNR RAILROAD,14.499519,121.039452,SB,STALLED TRUCK DUE TO MECHANICAL PROBLEM,1.0,TRUCK,18.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,8:07 PM,Quezon City,QUEZON AVENUE ARANETA TUNNEL,14.628351,121.013365,EB,STALLED CAR DUE TO FLAT TIRE,1.0,CAR,20.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,12:07 AM,Quezon City,COMMONWEALTH LUZON,14.66533,121.070469,,VEHICULAR ACCIDENT,1.0,MC AND CAR,0.0,Wednesday,8,2018,2018-08,Accident
2018-08-22,5:18 AM,Makati City,EDSA GUADALUPE,14.566348,121.045356,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,5.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-22,5:13 AM,Makati City,ORTIGAS GREENHILLS,14.566348,121.048658,,STALLED DUMP TRUCK DUE TO MECHANICAL PROBLEM,1.0,DUMP TRUCK,5.0,Wednesday,8,2018,2018-08,Stalled Vehicle
2018-08-23,7:54 AM,Makati City,EDSA MRT SANTOLAN,14.566348,121.055583,SB,VEHICULAR ACCIDENT,1.0,SUV AND MC,7.0,Thursday,8,2018,2018-08,Accident
2018-08-23,8:08 AM,Quezon City,"QUEZON AVE, ARANETA TUNNEL",14.628351,121.013365,EB,VEHICULAR ACCIDENT,1.0,VIOS AND MC,8.0,Thursday,8,2018,2018-08,Accident
2018-08-23,8:32 AM,Quezon City,EDSA TRINOMA,14.652928,121.031852,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,8.0,Thursday,8,2018,2018-08,Stalled Vehicle
2018-08-23,8:32 AM,Quezon City,EDSA TRINOMA,14.652928,121.031852,NB,STALLED BUS DUE TO MECHANICAL PROBLEM,1.0,BUS,8.0,Thursday,8,2018,2018-08,Stalled Vehicle
